Time,LeftTorque,LeftVelocity
58.732931,0.001335,-266.092898
58.733971,-0.010184,-265.25514
58.734976,-0.023094,-264.731541
58.735916,-0.046875,-264.103222
58.736933,-0.07794,-264.312662
58.737972,-0.114956,-266.721216
58.738934,-0.114956,-266.721216
58.739958,-0.150198,-267.663694
58.740972,-0.183475,-270.491127
58.741973,-0.209506,-269.129771
58.742971,-0.233707,-274.679918
58.74396,-0.262846,-278.13567
58.744984,-0.271847,-276.355434
58.745934,-0.273468,-284.942454
58.746966,-0.287885,-285.570772
58.74796,-0.28306,-286.72269
58.748933,-0.290231,-299.18434
58.749973,-0.302455,-294.157792
58.750976,-0.290708,-299.603219
58.751975,-0.298069,-308.818558
58.752969,-0.283728,-314.263985
58.753975,-0.285292,-314.263985
58.754977,-0.277835,-317.824457
58.755966,-0.297058,-320.233011
58.756971,-0.314641,-325.887878
58.757973,-0.291261,-328.505872
58.758934,-0.279285,-335.522095
58.759915,-0.304591,-337.302331
58.760973,-0.287428,-346.30823
58.761974,-0.297249,-346.30823
58.762971,-0.305182,-348.507345
58.76396,-0.276901,-354.79053
58.764971,-0.307852,-361.387875
58.765934,-0.290708,-366.204984
58.766976,-0.312257,-370.812653
58.767962,-0.299366,-375.210883
58.768933,-0.28983,-383.274304
58.769972,-0.30072,-387.672533
58.770975,-0.291776,-393.22268
58.77196,-0.277644,-394.060439
58.772971,-0.303122,-396.050114
58.773973,-0.301425,-399.505866
58.774972,-0.289754,-403.275777
58.775967,-0.309454,-408.721204
58.776972,-0.319389,-412.700555
58.777971,-0.312486,-418.564861
58.778934,-0.303599,-423.17253
58.779915,-0.292615,-428.199079
58.780971,-0.288,-434.796423
58.781972,-0.28882,-439.404092
58.782971,-0.296124,-443.174004
58.783962,-0.298946,-447.572233
58.78497,-0.301807,-450.190227
58.785972,-0.30625,-451.237425
58.786974,-0.308691,-456.997011
58.787964,-0.315079,-459.615005
58.788934,-0.304724,-463.699076
58.789933,-0.29435,-469.668102
58.790974,-0.290975,-472.495535
58.791956,-0.304324,-478.464561
58.792971,-0.304095,-483.07223
58.793974,-0.276214,-488.517658
58.794981,-0.292481,-495.324442
58.795962,-0.299976,-497.523557
58.796972,-0.285635,-502.550105
58.797972,-0.309625,-505.377538
58.798976,-0.301597,-504.958659
58.799916,-0.304248,-511.556004
58.800933,-0.288343,-515.011756
58.801972,-0.296448,-520.038304
58.802976,-0.316567,-529.253642
58.803967,-0.29004,-531.662197
58.804979,-0.296467,-537.421783
58.805973,-0.301196,-543.914408
58.806965,-0.288572,-548.312638
58.807961,-0.305087,-553.129747
58.808933,-0.306422,-556.480779
58.809933,-0.295571,-558.156295
58.810933,-0.291432,-563.287563
58.811915,-0.291261,-566.533875
58.812933,-0.285215,-571.141544
58.813933,-0.29435,-576.377532
58.814933,-0.314069,-577.738889
58.815915,-0.304457,-584.231514
58.816933,-0.302779,-591.038298
58.817933,-0.312753,-591.771336
58.818933,-0.305602,-598.996999
58.819915,-0.295838,-604.023548
58.820933,-0.303408,-603.08107
58.821933,-0.280505,-609.678414
58.822933,-0.285807,-614.495523
58.823915,-0.296867,-614.704963
58.824933,-0.297249,-623.291982
58.825933,-0.314908,-625.281658
58.826933,-0.281478,-630.727085
58.827915,-0.296047,-637.32443
58.828933,-0.309282,-638.371627
58.829933,-0.29128,-645.59729
58.830933,-0.308233,-646.539768
58.831915,-0.308233,-651.775756
58.832933,-0.293034,-655.022068
58.833933,-0.27814,-659.420298
58.834933,-0.294064,-662.77133
58.835915,-0.28205,-667.797878
58.836933,-0.289926,-672.824427
58.837933,-0.26256,-676.280179
58.838933,-0.289773,-682.458644
58.839915,-0.263113,-684.657759
58.840933,-0.26399,-687.694632
58.841933,-0.28184,-691.255104
58.842933,-0.24778,-694.501416
58.843915,-0.238436,-697.11941
58.844933,-0.210021,-703.088436
58.845933,-0.254322,-705.915869
58.846933,-0.232734,-711.570736
58.847915,-0.25251,-714.712329
58.848933,-0.226898,-717.539762
58.849933,-0.198999,-720.157756
58.850933,-0.223561,-721.728552
58.851915,-0.205387,-726.545661
58.852933,-0.205692,-728.221177
58.853933,-0.236128,-732.409967
58.854933,-0.216696,-736.808197
58.855915,-0.228481,-738.588433
58.856933,-0.235022,-742.253624
58.857933,-0.208743,-746.232975
58.858933,-0.215399,-747.280173
58.859915,-0.222856,-749.688727
58.860933,-0.20739,-755.029434
58.861933,-0.196081,-755.867192
58.862933,-0.220052,-760.684301
58.863915,-0.223275,-765.50141
58.864933,-0.233649,-766.862767
58.865933,-0.215285,-769.061882
58.866933,-0.221215,-771.156277
58.867915,-0.209182,-773.145952
58.868933,-0.192705,-775.973385
58.869933,-0.235823,-783.722647
58.870933,-0.21599,-786.75952
58.871915,-0.224553,-789.586954
58.872933,-0.203347,-792.414387
58.873933,-0.174188,-792.414387
58.874933,-0.140357,-794.404062
58.875915,-0.111256,-797.022056
58.876933,-0.078398,-799.221171
58.877933,-0.05559,-801.420286
58.878933,-0.031352,-802.572203
58.879915,0.010775,-801.839165
58.880933,0.046608,-802.362764
58.881933,0.10031,-799.954209
58.882933,0.144,-796.603177
58.883915,0.183742,-794.404062
58.884933,0.214121,-792.414387
58.885933,0.253826,-790.005833
58.886933,0.302054,-788.330317
58.887914,0.337849,-782.989609
58.888933,0.325244,-778.1725
58.889933,0.34666,-773.355392
58.890933,0.399237,-765.920289
58.891915,0.403947,-762.464537
58.892933,0.416,-756.70495
58.893933,0.389663,-753.249199
58.894932,0.4127,-748.850969
58.895915,0.354402,-744.662179
58.896933,0.328486,-738.797872
58.897933,0.303866,-732.200528
58.898933,0.293625,-729.582534
58.899915,0.33272,-723.613508
58.900933,0.366722,-720.367195
58.901933,0.326255,-717.330323
58.902933,0.274403,-711.780176
58.903915,0.259852,-710.314099
58.904933,0.34563,-706.334748
58.905933,0.259223,-702.355398
58.906933,0.331766,-698.271327
58.907915,0.291242,-692.93062
58.908933,0.274078,-689.474868
58.909933,0.321544,-684.867198
58.910933,0.257754,-682.877523
58.911916,0.319923,-678.269854
58.912933,0.259165,-675.232981
58.913933,0.293969,-673.243306
58.914933,0.301101,-667.588439
58.915915,0.259566,-664.237407
58.916933,0.347213,-658.791979
58.917933,0.269807,-654.18431
58.918933,0.268758,-652.404074
58.919915,0.332453,-647.586966
58.920933,0.297153,-646.539768
58.921933,0.285311,-641.30378
58.922933,0.26973,-638.162188
58.923915,0.328944,-634.706436
58.924933,0.335523,-629.679888
58.925933,0.306555,-626.328855
58.926933,0.266736,-620.464549
58.927915,0.255637,-617.113517
58.928933,0.255714,-613.657765
58.929933,0.245225,-609.887854
58.930933,0.251537,-608.212338
58.931915,0.265096,-601.824433
58.932933,0.240782,-599.625318
58.933933,0.248009,-597.007324
58.934933,0.268548,-590.20054
58.935915,0.300624,-588.210865
58.936933,0.327246,-578.157768
58.937933,0.28041,-575.749214
58.938933,0.252014,-570.722665
58.939914,0.30194,-566.324436
58.940933,0.331022,-564.125321
58.941933,0.279056,-558.156295
58.942933,0.252586,-557.527976
58.943915,0.342064,-554.072224
58.944933,0.262579,-547.26544
58.945933,0.297859,-545.904083
58.946933,0.348433,-538.88786
58.947915,0.240724,-534.070751
58.948933,0.347251,-530.824439
58.949933,0.252681,-527.787566
58.950933,0.308691,-524.436534
58.951915,0.257277,-520.457183
58.952933,0.328467,-518.048629
58.953933,0.292023,-511.032405
58.954933,0.250088,-509.147449
58.955915,0.34378,-505.586978
58.956933,0.300586,-498.989633
58.957933,0.250336,-498.361315
58.958933,0.290193,-492.287569
58.959914,0.312581,-487.6799
58.960933,0.311075,-484.747746
58.961933,0.271313,-479.09288
58.962933,0.259165,-475.532408
58.963915,0.26153,-471.657777
58.964933,0.276062,-467.259547
58.965933,0.291699,-464.432114
58.966933,0.300967,-457.834769
58.967914,0.301921,-455.426215
58.968933,0.294083,-451.446864
58.969933,0.286684,-447.362794
58.970933,0.271389,-445.163679
58.971915,0.264639,-439.822972
58.972933,0.272286,-435.948341
58.973933,0.292023,-430.398194
58.974933,0.323852,-427.7802
58.975916,0.31241,-423.17253
58.976933,0.293473,-419.297899
58.977933,0.285025,-413.957192
58.978933,0.331194,-409.140083
58.979919,0.285292,-406.31265
58.980933,0.260119,-403.694656
58.981933,0.335447,-397.83035
58.982933,0.277263,-394.688757
58.983914,0.304762,-390.081088
58.984933,0.277225,-386.834775
58.985933,0.30728,-382.855425
58.986933,0.2802,-378.771354
58.987914,0.315442,-372.802328
58.988933,0.282584,-366.204984
58.989933,0.316376,-365.995544
58.990933,0.282031,-361.387875
58.991915,0.285902,-355.942448
58.992933,0.318035,-353.533893
58.993933,0.285997,-348.297906
58.994933,0.282088,-342.747759
58.995915,0.290479,-340.339204
58.996933,0.312848,-335.522095
58.997933,0.303447,-332.485223
58.998933,0.287885,-329.23891
58.999915,0.280543,-324.107642
59.000933,0.28943,-318.452775
59.001933,0.275509,-310.598794
59.002933,0.270169,-306.828883
59.003915,0.253788,-304.001449
59.004933,0.236148,-297.613544
59.005933,0.225049,-293.215314
59.006933,0.208248,-291.958677
59.007915,0.192763,-286.932129
59.008933,0.175504,-282.743339
59.009933,0.161201,-281.905581
59.010933,0.138031,-276.564873
59.011919,0.111447,-275.727115
59.012933,0.090813,-274.889357
59.013933,0.071018,-271.538325
59.014933,0.062989,-269.33921
59.015915,0.043442,-270.072248
59.016933,0.022465,-265.674019
59.017933,-0.00042,-267.140095
59.018933,-0.014627,-268.292013
59.019915,-0.029578,-265.883458
59.020933,-0.045292,-266.511777
59.021933,-0.071876,-264.94098
59.022933,-0.103151,-268.292013
59.023915,-0.114155,-265.883458
59.024933,-0.138927,-271.538325
